state,state_id,county_name,county_id,total_population,percent_non_white,hispanic,percent_hispanic,white,percent_white,black,percent_black,amer_indian,percent_ai,asian,percent_asian,nat_haw_pac_isl,percent_nh,other,percent_other
AK,2,ALEUTIANS EAST BOROUGH,13,2697,0.779755284,339,0.125695217,521,0.193177605,42,0.015572859,999,0.370411568,712,0.263997034,8,0.002966259,3,0.001112347
AK,2,ALEUTIANS WEST CENSUS AREA,16,5465,0.594510521,573,0.104849039,2059,0.376761208,165,0.030192132,1136,0.207868253,1338,0.244830741,33,0.006038426,4,0.00073193
AK,2,BETHEL CENSUS AREA,50,16006,0.839935025,140,0.00874672,1958,0.122329127,59,0.003686118,13063,0.816131451,168,0.010496064,9,0.000562289,5,0.000312383
AK,2,BRISTOL BAY BOROUGH,60,1258,0.455484897,7,0.005564388,656,0.521462639,7,0.005564388,550,0.437201908,3,0.002384738,6,0.004769475,0,0
AK,2,DENALI BOROUGH,68,1893,0.105124141,47,0.024828315,1600,0.845219229,27,0.014263074,89,0.04701532,26,0.013734812,6,0.003169572,4,0.002113048
AK,2,DILLINGHAM CENSUS AREA,70,4922,0.727549776,111,0.022551808,1031,0.209467696,18,0.00365705,3415,0.693823649,30,0.006095083,1,0.000203169,6,0.001219017
AK,2,FAIRBANKS NORTH STAR BOROUGH,90,82840,0.19240705,3440,0.041525833,62942,0.759802028,4719,0.056965234,5596,0.067551907,1682,0.020304201,237,0.002860937,265,0.003198938
AK,2,HAINES BOROUGH,100,2392,0.138795986,33,0.013795987,1960,0.819397993,3,0.001254181,271,0.113294314,17,0.007107023,2,0.00083612,6,0.002508361
AK,2,KENAI PENINSULA BOROUGH,122,49691,0.113420942,1087,0.021875189,42263,0.85051619,220,0.004427361,3644,0.073333199,471,0.009478578,85,0.001710571,129,0.002596044
AK,2,KETCHIKAN GATEWAY BOROUGH,130,14070,0.221321961,372,0.026439232,10264,0.72949538,67,0.004761905,2049,0.145628998,596,0.04235963,19,0.001350391,11,0.000781805
AK,2,KODIAK ISLAND BOROUGH,150,13913,0.380004313,848,0.06095019,8001,0.575073672,129,0.009271904,1997,0.143534824,2193,0.157622368,105,0.007546899,15,0.001078128
AK,2,LAKE AND PENINSULA BOROUGH,164,1823,0.745474492,21,0.011519473,342,0.187602852,1,0.000548546,1331,0.730115195,4,0.002194185,2,0.001097093,0,0
AK,2,MATANUSKA-SUSITNA BOROUGH,170,59322,0.095748626,1485,0.025032871,51175,0.862664779,398,0.006709147,3168,0.053403459,401,0.006759718,66,0.001112572,162,0.002730859
AK,2,NOME CENSUS AREA,180,9196,0.7692475,92,0.01000435,1752,0.190517616,35,0.003806003,6881,0.748260113,62,0.006742062,2,0.000217486,2,0.000217486
AK,2,NORTH SLOPE BOROUGH,185,7385,0.772511847,175,0.023696682,1228,0.166283006,51,0.00690589,4982,0.674610697,435,0.058903182,59,0.007989167,3,0.000406229
AK,2,NORTHWEST ARCTIC BOROUGH,188,7208,0.841703662,57,0.00790788,878,0.121809101,15,0.002081021,5919,0.821170921,64,0.008879023,4,0.000554939,8,0.001109878
AK,2,PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA,201,6146,0.405955092,107,0.017409697,3228,0.525219655,9,0.001464367,2340,0.380735438,22,0.003579564,3,0.000488122,14,0.002277904
AK,2,SOUTHEAST FAIRBANKS CENSUS AREA,240,6174,0.180919987,167,0.027048915,4780,0.774214448,118,0.019112407,777,0.12585034,42,0.006802721,9,0.001457726,4,0.000647878
AK,2,VALDEZ-CORDOVA CENSUS AREA,261,10195,0.201275134,286,0.028052967,7612,0.74664051,33,0.003236881,1325,0.129965669,359,0.03521334,25,0.002452182,24,0.002354095
AK,2,WADE HAMPTON CENSUS AREA,270,7028,0.928002277,23,0.003272624,330,0.046955037,4,0.000569152,6486,0.922879909,7,0.000996016,1,0.000142288,1,0.000142288
AK,2,WRANGELL-PETERSBURG CENSUS AREA,280,6684,0.199132256,132,0.019748654,4846,0.725014961,15,0.002244165,1058,0.15828845,105,0.015709156,7,0.001047277,14,0.002094554
AK,2,YUKON-KOYUKUK CENSUS AREA,290,6551,0.722027171,78,0.011906579,1574,0.240268661,6,0.000915891,4610,0.703709357,23,0.003510914,3,0.000457945,10,0.001526485
AL,1,AUTAUGA,1,43671,0.194041813,610,0.01396808,34823,0.797394152,7428,0.170089991,186,0.004259119,194,0.004442307,12,0.000274782,44,0.001007534
AL,1,BALDWIN,3,140415,0.129957626,2466,0.017562226,120868,0.860791226,14357,0.102246911,753,0.005362675,531,0.003781647,37,0.000263505,104,0.000740662
AL,1,BARBOUR,5,29038,0.48415869,478,0.016461189,14788,0.509263723,13369,0.460396722,119,0.004098078,83,0.002858324,6,0.000206626,4,0.000137751
AL,1,BIBB,7,20826,0.233314092,210,0.010083549,15870,0.762028234,4584,0.220109479,46,0.002208777,17,0.000816287,2,9.60E-05,0,0
AL,1,BLOUNT,9,51024,0.070907808,2718,0.05326905,46999,0.921115553,598,0.011719975,212,0.004154907,70,0.001371903,6,0.000117592,14,0.000274381
AL,1,BULLOCK,11,11714,0.757469727,322,0.027488475,2764,0.235956975,8486,0.724432303,37,0.003158614,21,0.001792727,1,8.54E-05,6,0.000512208
AL,1,BUTLER,13,21399,0.415720361,143,0.006682555,12429,0.580821534,8671,0.405205851,44,0.002056171,34,0.001588859,0,0,4,0.000186925
AL,1,CALHOUN,15,112249,0.211039743,1753,0.015617066,87598,0.780390026,20725,0.184634162,427,0.003804043,625,0.005567978,74,0.000659249,85,0.000757245
AL,1,CHAMBERS,17,36583,0.390399912,280,0.007653828,22111,0.604406418,13872,0.379192521,49,0.00133942,68,0.001858787,0,0,13,0.000355356
AL,1,CHEROKEE,19,23988,0.068367517,204,0.008504252,22164,0.923961981,1327,0.055319326,74,0.003084876,32,0.001334,0,0,3,0.000125063
AL,1,CHILTON,21,39593,0.138332519,1152,0.029096052,33897,0.856136186,4131,0.104336625,111,0.002803526,65,0.001641704,2,5.05E-05,16,0.000404112
AL,1,CHOCTAW,23,15922,0.448247707,107,0.006720261,8724,0.547921115,6985,0.438701168,24,0.001507348,6,0.000376837,0,0,15,0.000942093
AL,1,CLARKE,25,27867,0.438332092,180,0.006459253,15519,0.556895252,11918,0.42767431,61,0.002188969,45,0.001614813,1,3.59E-05,10,0.000358847
AL,1,CLAY,27,14254,0.177634393,253,0.017749404,11616,0.814929143,2219,0.1556756,44,0.003086853,12,0.000841869,1,7.02E-05,3,0.000210467
AL,1,CLEBURNE,29,14123,0.055299852,198,0.014019684,13235,0.937123841,521,0.036890179,41,0.002903066,19,0.001345323,1,7.08E-05,1,7.08E-05
AL,1,COFFEE,31,43615,0.229875044,1183,0.027123696,32971,0.75595552,7950,0.18227674,386,0.008850166,409,0.009377508,40,0.000917116,58,0.001329818
AL,1,COLBERT,33,54984,0.183271496,618,0.011239633,44470,0.808780736,9096,0.165429943,195,0.003546486,127,0.002309763,11,0.000200058,30,0.000545613
AL,1,CONECUH,35,14089,0.443395558,102,0.007239691,7760,0.5507843,6091,0.432323089,27,0.001916389,16,0.001135638,5,0.000354887,6,0.000425864
AL,1,COOSA,37,12202,0.357154565,158,0.012948697,7742,0.63448615,4147,0.339862318,39,0.003196197,5,0.000409769,0,0,9,0.000737584
